NCM;categoria;descricao;IPI;uTrib
01012100;ANIMAIS VIVOS;01012100 - CAVALOS REPRODUTORES DE RAÇA PURA;NT;UN
01012900;ANIMAIS VIVOS;01012900 - OUTROS CAVALOS VIVOS;NT;UN
01013000;ANIMAIS VIVOS;01013000 - ASININOS VIVOS;NT;UN
01019000;ANIMAIS VIVOS;01019000 - OUTROS MUARES VIVOS;NT;UN
01022110;ANIMAIS VIVOS;01022110 - BOVINOS DOMÉST.REPROD.D/RAÇA PURA,PRENHES OU C/CRIA AO;NT;UN
01022190;ANIMAIS VIVOS;01022190 - OUTROS BOVINOS REPRODUTORES DE RAÇA PURA;NT;UN
01022911;ANIMAIS VIVOS;01022911 - OUTROS BOVINOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;NT;UN
01022919;ANIMAIS VIVOS;01022919 - OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO;NT;UN
01022990;ANIMAIS VIVOS;01022990 - OUTROS BOVINOS DOMÉSTICOS VIVOS;NT;UN
01023110;ANIMAIS VIVOS;01023110 - BÚFALOS REPROD.DE RAÇA PURA, PRENHES OU C/CRIA AO PÉ;NT;UN
01023190;ANIMAIS VIVOS;01023190 - OUTROS BÚFALOS REPRODUTORES DE RAÇA PURA;NT;UN
01023911;ANIMAIS VIVOS;01023911 - OUTROS BÚFALOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;NT;UN
01023919;ANIMAIS VIVOS;01023919 - OUTROS BÚFALOS PARA REPRODUÇÃO;NT;UN
01023990;ANIMAIS VIVOS;01023990 - OUTROS BÚFALOS VIVOS;NT;UN
01029000;ANIMAIS VIVOS;01029000 - OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA;NT;UN
01031000;ANIMAIS VIVOS;01031000 - REPRODUTORES DA ESPÉCIE SUÍNA DE RAÇA PURA;NT;UN
01039100;ANIMAIS VIVOS;01039100 - OUTROS SUÍNOS REPROD.PESO INFERIOR 50 KG;NT;UN
01039200;ANIMAIS VIVOS;01039200 - OUTS.SUÍNOS REPROD.PESO IGUAL OU SUP 50 KG;NT;UN
01041011;ANIMAIS VIVOS;01041011 - OVINOS REP.RAÇA PURA,PRENHE OU C/CRIA AO PÉ;NT;UN
01041019;ANIMAIS VIVOS;01041019 - OUTROS OVINOS REPRODUTORES DE RAÇA PURA;NT;UN
